hotmail.com,65.55.85.12
360.cn,220.181.24.100
craigslist.org,208.82.236.129
weather.com,96.8.84.132
soku.com,61.135.196.23
alibaba.com,205.204.96.36
renren.com,220.181.181.222
livedoor.jp,125.6.149.67
blogger.com,173.194.64.191
vkontakte.ru,87.240.156.164
answers.com,67.196.156.65
rapidshare.com,154.46.193.3
daum.net,114.108.157.19
7k7k.com,115.182.59.33
2345.com,42.62.4.52
photobucket.com,209.17.80.100
mediafire.com,205.196.120.13
ehow.com,98.124.247.46
seesaa.net,59.106.28.139
